ORDER HISTORY,,,,,,,,,,,,,,,,,,,,,,
Date,Type,Coin,Price,Qty,Total,Why?,Exchange,,,,,,,,,,,,,,,
1-Apr-24,Deposit,,,,227,"8-Nov-2022: nạp 118 (chơi coin lần đầu)
5-dec-2022: rút 45 ( Binance dính FUD)
22-Jun-2023: nạp 100 (fud Binance chìm, nạp vào chơi tiếp)
9-nov-22: buy 0.02 ETH mất 26$ -> 11/03/24 bán 0.01 ETH thu về 40$ -> coi như nạp thêm 14$",,,,,,,,,,,,,,,,
1-Apr-24,Buy,ETH,3503,0.011418784,40,"còn 40$ ETH lần trước vẫn chưa bán, quy về ngày hôm nay luôn",binance,,,,,,,,,,,,,,,
1-Apr-24,Deposit,,,,200,nạp 200$ sàn OKX giá 25.7 để vào group bắn signal Arcapital,,,,,,,,,,,,,,,,
13-Apr-24,Deposit,,,,75,chuyển coin về ví. nạp thêm 75$ vào OKX để bù vào tiền mua coin trước đó (giữ nguyên 200$ trên OKX để trade coin),,,,,,,,,,,,,,,,
14-Apr-24,Buy,BTC,64306,0.00031,19.93486,"Sau khi phân tích BTC xong, mua lấy hên",binance,,,,,,,,,,,,,,,
17-Apr-24,Deposit,,,,189,"TT sập mạnh, nạp 5tr vào Binance múc BTC+ETH (giá USDT: 26.5)",,,,,,,,,,,,,,,,
17-Apr-24,Buy,BTC,60000,0.00157,94.2,múc 1 phần tại vùng giá tròn 60k,binance,,,,,,,,,,,,,,,
17-Apr-24,Buy,ETH,2969,0.0318,94.4142,múc 1 phần tại vùng giá tròn 3k,,,,,,,,,,,,,,,,
14-Jun-24,Deposit,,,,581,nạp 15tr vào binance,,,,,,,,,,,,,,,,
18-Jun-24,Buy,BTC,65000,0.00615,399.75,"mua thêm, sóng hồi (buy limit)",binance,,,,,,,,,,,,,,,
4-Jul-24,Buy,ETH,3200,0.0562,179.84,"mua thêm, sóng hồi cây break tin ETF",binance,,,,,,,,,,,,,,,
24-Jun-24,Deposit,,,,577,nạp 15tr vào OKX,,,,,,,,,,,,,,,,
25-Jun-24,Buy,BTC,60000,0.00667,400.2,mua thêm vùng 60k (lệnh limit),okx,,,,,,,,,,,,,,,
4-Jul-24,Buy,ETH,3200,0.055,176,mua thêm,okx,,,,,,,,,,,,,,,
8-Jul-24,Deposit,,,,384,nạp 10tr vào binance,,,,,,,,,,,,,,,,
5-Aug-24,Buy,BTC,55000,0.00345,189.75,"3 vùng 55,60,60 về đến là mua thêm (lệnh limit)",binance,,,,,,,,,,,,,,,
2-Aug-24,Buy,ETH,3000,0.0651,195.3,"mua thêm, ăn theo BTC giảm (lệnh limit)",binance,,,,,,,,,,,,,,,
6-Sep-24,Deposit,,,,792,nạp 20tr vào OKX,,,,,,,,,,,,,,,,
6-Sep-24,Buy,BTC,54000,0.00555,299.7,"rớt xuống vùng mua (đáy cũ), múc thêm",okx,,,,,,,,,,,,,,,
7-Sep-24,Buy,ETH,2200,0.1363,299.86,sập mạnh -> múc (múc theo BTC),okx,,,,,,,,,,,,,,,
30-Oct-24,Sell,BTC,72347,0.006,434.082,"lên đỉnh hộp, bán bớt",okx,,,,,,,,,,,,,,,
5-Nov-24,Buy,ETH,2478,0.084,208.152,mua gom thêm vùng đáy,,,,,,,,,,,,,,,,
26-Nov-24,Sell,BTC,93000,0.003,279,"ko lên nổi 100, bán chớ sợ lại rớt",okx,,,,,,,,,,,,,,,
26-Nov-24,Sell,BTC,94000,0.006,564,"ko lên nổi 100, bán chớ sợ lại rớt",binance,,,,,,,,,,,,,,,
6-Jan-25,Sell,BTC,100000,0.00274,274,bán tiếp ở giá tròn 100,binance,,,,,,,,,,,,,,,
13-Jan-25,Deposit,,,,115.38,nạp 3tr vào sàn bybit để làm nhiệm vụ trade to earn,,,,,,,,,,,,,,,,
19-Jan-25,Sell,BTC,104215,0.00074,77.1191,"Tăng rướn, bán hết",binance,,,,,,,,,,,,,,,
21-Jan-25,Deposit,,,,384.6,"nạp 10tr vào binance, mua thêm ",,,,,,,,,,,,,,,,
28-Feb-25,Buy,ETH,2100,0.0714,149.94,mua DCA,,,,,,,,,,,,,,,,
13-Jan-25,Buy,ETH,3043,0.0474,144.2382,?? ,,,,,,,,,,,,,,,,
15-Jan-25,Sell,BTC,99000,0.00321419,318.20481,bán trước giá 100,okx,,,,,,,,,,,,,,,
19-Jan-25,Sell,BTC,103753,0.000104,10.790312,bán hết ở okx,okx,,,,,,,,,,,,,,,
3-Apr-25,Sell,BTC,83000,0.002,166,"lúc trước còn 0.002BTC, lấy chuyển qua ví keyless Binance để cày airdrop sàn",binance,,,,,,,,,,,,,,,
16-May-25,Deposit,,,,1104,"nạp 30tr vào Binance để cày Alpha, mua P2P bị lỗi chọn nhầm giá (mua giá cao 27.2 thay vì giá bình thường 26.2, do xớn xác)",binance,,,,,,,,,,,,,,,
27-Jun-25,Withdraw,,,,300,rút 300$ bỏ vào tk exness đánh BTC (join group 5phut + lợi phí hơn sàn cex),,,,,,,,,,,,,,,,
1-Aug-25,Buy,BNB,757.8,0.5862,444.22236,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",binance,,,,,,,,,,,,,,,
1-Aug-25,Buy,ADA,0.7141,408.81,291.931221,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",binance,,,,,,,,,,,,,,,
1-Aug-25,Buy,SUI,3.45,25.1,86.595,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",binance,,,,,,,,,,,,,,,
1-Aug-25,Buy,VET,0.0226,2059,46.5334,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",binance,,,,,,,,,,,,,,,
1-Aug-25,Buy,ALGO,0.2361,146.86,34.673646,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",binance,,,,,,,,,,,,,,,
1-Aug-25,Buy,NEAR,2.414,9.89,23.87446,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",binance,,,,,,,,,,,,,,,
1-Aug-25,Buy,SOL,162.71,4.0436,657.934156,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,WLD,0.964,93.75,90.375,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,ONDO,0.8899,76.02,67.650198,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,LINK,16.07,2.5,40.175,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,UNI,9.037,3.822,34.539414,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,INJ,12.55,2.374,29.7937,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,AR,6.94,3.3,22.902,"ko truy lại lịch sử mua bán được, quản lí lại từ 1/8",okx,,,,,,,,,,,,,,,
1-Aug-25,Buy,GRASS,1,387.7,387.7,,,,,,,,,,,,,,,,,
1-Aug-25,Buy,GRASS,0,387.7,0,correct cash balance ,,,,,,,,,,,,,,,,
18-Aug-25,Buy,ETH,4300,0.046511628,200,Trade H1 (hồi về vùng VCP H1 cũ),binance,,,,,,,,,,,,,,,
9-Sep-25,Buy,MNT,1.2207,81.92,99.999744,mở mua mới,bybit,,,,,,,,,,,,,,,
9-Sep-25,Buy,HYPE,50.74,1.97,99.9578,mở mua mới,bybit,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
